# Wanajo, Nomoto, Janka, Kitaura & Muller 2009, ApJ 695, 208, Table 2
# Isotope masses ejected (Msun, after decay) for the 1D electron-capture SN of an 8.8 Msun
# SAGB/ONeMg-core progenitor. ST = standard model; FP3 = modified electron-fraction
# sensitivity variant (reduced neutron excess -> far less 90Zr etc).
isotope               ST           FP3
1H          5.550000e-05  3.840000e-05
58Ni        1.790000e-03  2.210000e-03
2H          1.980000e-13  1.350000e-13
60Ni        2.090000e-03  1.720000e-03
3He         6.520000e-10  6.490000e-10
61Ni        5.040000e-05  4.620000e-05
4He         5.120000e-03  5.550000e-03
62Ni        5.110000e-04  2.880000e-04
6Li         6.700000e-15  6.570000e-15
64Ni        2.550000e-07  5.380000e-09
7Li         4.520000e-09  5.310000e-09
63Cu        5.960000e-05  1.970000e-05
9Be         2.050000e-14  1.990000e-14
65Cu        1.560000e-05  4.590000e-06
10B         2.720000e-14  2.450000e-14
64Zn        6.380000e-04  6.510000e-04
11B         3.020000e-09  3.340000e-09
66Zn        4.540000e-04  2.160000e-05
12C         1.180000e-06  1.480000e-06
67Zn        4.440000e-06  2.030000e-06
13C         6.820000e-09  7.090000e-09
68Zn        2.890000e-05  3.900000e-05
14N         5.540000e-08  4.080000e-08
70Zn        9.720000e-12  2.140000e-14
15N         1.020000e-07  8.250000e-08
69Ga        1.930000e-06  5.680000e-07
16O         1.030000e-07  1.130000e-07
71Ga        3.960000e-07  7.640000e-08
17O         5.170000e-11  5.330000e-11
70Ge        8.290000e-05  6.610000e-06
18O         7.160000e-09  5.410000e-09
72Ge        5.050000e-06  7.100000e-07
19F         1.020000e-08  8.950000e-09
73Ge        4.110000e-07  4.320000e-08
20Ne        3.120000e-08  4.080000e-08
74Ge        5.160000e-09  6.860000e-12
21Ne        1.630000e-10  2.000000e-10
76Ge        2.910000e-14  4.900000e-20
22Ne        5.370000e-09  5.820000e-09
75As        3.350000e-07  1.840000e-08
23Na        3.330000e-10  4.460000e-10
74Se        5.130000e-06  9.280000e-07
24Mg        1.800000e-08  2.530000e-08
76Se        9.050000e-06  3.390000e-08
25Mg        5.300000e-09  1.050000e-08
77Se        2.770000e-07  7.990000e-09
26Mg        4.400000e-08  4.300000e-08
78Se        1.320000e-07  5.410000e-11
27Al        3.030000e-09  3.320000e-09
80Se        1.490000e-10  2.870000e-14
28Si        5.440000e-08  8.450000e-08
82Se        8.400000e-16  0.000000e+00
29Si        1.110000e-08  1.660000e-08
79Br        2.080000e-07  1.150000e-08
30Si        6.820000e-08  6.130000e-08
81Br        1.230000e-07  3.090000e-09
31P         2.100000e-08  2.820000e-08
78Kr        7.060000e-07  2.580000e-07
32S         1.980000e-07  2.760000e-07
80Kr        2.880000e-06  4.710000e-08
33S         3.370000e-08  3.890000e-08
82Kr        1.080000e-06  2.530000e-08
34S         2.270000e-07  2.200000e-07
83Kr        2.030000e-07  5.580000e-09
36S         4.090000e-12  5.030000e-12
84Kr        3.570000e-08  6.870000e-12
35Cl        1.780000e-07  2.030000e-07
86Kr        1.240000e-11  3.480000e-18
37Cl        1.050000e-07  1.140000e-07
85Rb        1.400000e-07  4.290000e-09
36Ar        1.110000e-06  1.410000e-06
87Rb        4.210000e-09  1.390000e-15
38Ar        2.620000e-07  3.010000e-07
84Sr        3.100000e-07  5.870000e-08
40Ar        9.900000e-11  1.240000e-10
86Sr        1.290000e-06  6.940000e-09
39K         4.070000e-07  4.830000e-07
87Sr        2.920000e-07  2.720000e-09
40K         4.980000e-10  5.980000e-10
88Sr        2.740000e-06  3.240000e-08
41K         8.140000e-08  8.530000e-08
89Y         3.920000e-06  1.250000e-08
40Ca        3.550000e-06  3.930000e-06
90Zr        1.210000e-04  8.040000e-07
42Ca        5.230000e-07  6.980000e-07
91Zr        9.960000e-07  6.610000e-08
43Ca        1.770000e-07  2.270000e-07
92Zr        7.810000e-09  1.350000e-10
44Ca        5.960000e-06  7.170000e-06
94Zr        3.890000e-16  1.970000e-20
46Ca        2.440000e-15  1.250000e-15
96Zr        0.000000e+00  0.000000e+00
48Ca        0.000000e+00  0.000000e+00
93Nb        2.050000e-08  2.070000e-09
45Sc        1.410000e-07  1.460000e-07
92Mo        7.020000e-07  2.730000e-07
46Ti        7.180000e-07  8.290000e-07
94Mo        1.420000e-08  2.320000e-10
47Ti        9.240000e-07  1.170000e-06
95Mo        7.960000e-11  1.160000e-11
48Ti        8.360000e-06  1.010000e-05
96Mo        3.940000e-12  6.440000e-14
49Ti        7.470000e-07  7.640000e-07
